path,type,size_bytes,depth,is_attachment,encoding,bom
01_concept_overview.md,.md,4165,1,no,utf-8,
AGENT_SOP.md,.md,7614,1,no,utf-8,
CHANGELOG.md,.md,1592,1,no,utf-8,
LLM_INDEX.md,.md,2141,1,no,utf-8,
PROMPT_SKILL_CONSISTENCY_REPORT.md,.md,944,1,no,utf-8,
ROLE_CHEATSHEET.md,.md,7320,1,no,utf-8,
sop_for_human.md,.md,4179,1,no,utf-8,
SOP_REVIEW_REPORT.md,.md,779,1,no,utf-8,
03_workflow/deep_path.md,.md,3246,2,no,utf-8,
03_workflow/fast_path.md,.md,1898,2,no,utf-8,
03_workflow/index.md,.md,4186,2,no,utf-8,
03_workflow/three_strike_rule.md,.md,1283,2,no,utf-8,
02_skill_matrix/index.md,.md,5972,2,no,utf-8,
05_constraints/acceptance_criteria.md,.md,12321,2,no,utf-8,
05_constraints/coding_principles.md,.md,3982,2,no,utf-8,
05_constraints/command_dictionary.md,.md,4955,2,no,utf-8,
05_constraints/constraint_matrix.md,.md,13425,2,no,utf-8,
05_constraints/index.md,.md,3377,2,no,utf-8,
05_constraints/security_supply_chain.md,.md,2530,2,no,utf-8,
05_constraints/state_dictionary.md,.md,5966,2,no,utf-8,
04_reference/design_decision_rules.md,.md,8984,2,no,utf-8,
04_reference/design_directory_strategy.md,.md,4353,2,no,utf-8,
04_reference/document_directory_mapping.md,.md,2712,2,no,utf-8,
04_reference/index.md,.md,8340,2,no,utf-8,
04_reference/knowledge_management.md,.md,8351,2,no,utf-8,
04_reference/prompt_pack.standard.md,.md,2646,2,no,utf-8,
reviews/index.md,.md,317,2,no,utf-8,
skills/index.md,.md,1106,2,no,utf-8,
04_reference/document_templates/adr.md,.md,4016,3,no,utf-8,
04_reference/document_templates/architecture_design.md,.md,4257,3,no,utf-8,
04_reference/document_templates/feature_frd.md,.md,3830,3,no,utf-8,
04_reference/document_templates/implementation_design.md,.md,5984,3,no,utf-8,
04_reference/document_templates/module_mrd.md,.md,3309,3,no,utf-8,
04_reference/document_templates/prd.md,.md,1382,3,no,utf-8,
04_reference/document_templates/project_prd.md,.md,3263,3,no,utf-8,
04_reference/document_templates/prototype_guide.md,.md,3890,3,no,utf-8,
04_reference/document_templates/test_cases.csv,.csv,542,3,yes,utf-8,
04_reference/interaction_formats/code_audit_report.md,.md,404,3,no,utf-8,
04_reference/interaction_formats/code_review.md,.md,2612,3,no,utf-8,
04_reference/interaction_formats/continuation_request.md,.md,1892,3,no,utf-8,
04_reference/interaction_formats/design_review.md,.md,1651,3,no,utf-8,
04_reference/interaction_formats/manual_mode_templates.md,.md,2583,3,no,utf-8,
04_reference/interaction_formats/router_triage.md,.md,918,3,no,utf-8,
04_reference/interaction_formats/source_dependency.md,.md,2144,3,no,utf-8,
04_reference/interaction_formats/supervisor_report.md,.md,1251,3,no,utf-8,
04_reference/interaction_formats/test_case_csv.md,.md,755,3,no,utf-8,
04_reference/interaction_formats/worker_execution_result.md,.md,711,3,no,utf-8,
04_reference/rag/README.md,.md,4262,3,no,utf-8,
04_reference/review_standards/adr.standard.md,.md,1873,3,no,utf-8,
04_reference/review_standards/architecture_design.standard.md,.md,2227,3,no,utf-8,
04_reference/review_standards/code_diff.standard.md,.md,2465,3,no,utf-8,
04_reference/review_standards/context_handoff.standard.md,.md,1708,3,no,utf-8,
04_reference/review_standards/implementation_design.standard.md,.md,1981,3,no,utf-8,
04_reference/review_standards/index.md,.md,1860,3,no,utf-8,
04_reference/review_standards/review_report.standard.md,.md,1519,3,no,utf-8,
04_reference/review_standards/source_dependency.standard.md,.md,1777,3,no,utf-8,
04_reference/review_standards/test_code.standard.md,.md,2124,3,no,utf-8,
04_reference/review_standards/test_design.standard.md,.md,1830,3,no,utf-8,
04_reference/review_standards/_project_profile.md,.md,1657,3,no,utf-8,
reviews/2026-02-12_system_audit/00_scope.md,.md,962,3,no,utf-8,
reviews/2026-02-12_system_audit/01_ssot_check.md,.md,818,3,no,utf-8,
reviews/2026-02-12_system_audit/02_issue_list.md,.md,1487,3,no,utf-8,
reviews/2026-02-12_system_audit/03_link_check.md,.md,1070,3,no,utf-8,
reviews/2026-02-12_system_audit/04_version_check.md,.md,882,3,no,utf-8,
reviews/2026-02-12_system_audit/05_review_report.md,.md,1041,3,no,utf-8,
reviews/2026-02-12_system_audit/index.md,.md,326,3,no,utf-8,
reviews/2026-02-12_system_audit_v2/00_scope.md,.md,970,3,no,utf-8,
reviews/2026-02-12_system_audit_v2/01_fact_check.md,.md,1378,3,no,utf-8,
reviews/2026-02-12_system_audit_v2/02_issue_list.md,.md,1555,3,no,utf-8,
reviews/2026-02-12_system_audit_v2/03_link_check.md,.md,199,3,no,utf-8,
reviews/2026-02-12_system_audit_v2/06_link_topology.dot,.dot,43476,3,no,,
reviews/2026-02-12_system_audit_v2/06_link_topology.json,.json,122,3,no,utf-8,
reviews/2026-02-12_system_audit_v2/06_link_topology.mmd,.mmd,22314,3,no,,
reviews/2026-02-12_system_audit_v2/07_prompt_token_compression.md,.md,1538,3,no,utf-8,
reviews/2026-02-12_system_audit_v2/08_llm_friendly_index.md,.md,484,3,no,utf-8,
reviews/2026-02-12_system_audit_v2/index.md,.md,504,3,no,utf-8,
reviews/2026-02-12_v2_skill_first/05_review_report.md,.md,979,3,no,utf-8,
reviews/2026-02-12_v2_skill_first/index.md,.md,144,3,no,utf-8,
skills/sop-architecture-design/SKILL.md,.md,3707,3,no,utf-8,
skills/sop-architecture-reviewer/SKILL.md,.md,3023,3,no,utf-8,
skills/sop-capability-reuse/SKILL.md,.md,4423,3,no,utf-8,
skills/sop-code-explorer/SKILL.md,.md,3284,3,no,utf-8,
skills/sop-code-implementation/SKILL.md,.md,3708,3,no,utf-8,
skills/sop-code-review/SKILL.md,.md,4271,3,no,utf-8,
skills/sop-deep-path/SKILL.md,.md,3542,3,no,utf-8,
skills/sop-design-placement/SKILL.md,.md,4838,3,no,utf-8,
skills/sop-document-sync/SKILL.md,.md,3888,3,no,utf-8,
skills/sop-fast-path/SKILL.md,.md,2131,3,no,utf-8,
skills/sop-implementation-designer/SKILL.md,.md,5975,3,no,utf-8,
skills/sop-progress-supervisor/SKILL.md,.md,3903,3,no,utf-8,
skills/sop-requirement-analyst/SKILL.md,.md,2949,3,no,utf-8,
skills/sop-test-design-csv/SKILL.md,.md,2366,3,no,utf-8,
skills/sop-tdd-workflow/SKILL.md,.md,5653,3,no,utf-8,
skills/sop-test-implementation/SKILL.md,.md,2338,3,no,utf-8,
skills/sop-workflow-orchestrator/SKILL.md,.md,3597,3,no,utf-8,
04_reference/review_standards/profiles/.gitkeep,(none),1,4,no,,
prompts/packs/default/00_system.md,.md,1138,4,no,utf-8,
prompts/packs/default/01_operator.md,.md,1950,4,no,utf-8,
prompts/packs/default/index.md,.md,1137,4,no,utf-8,
prompts/packs/default/skills/sop-architecture-design.md,.md,336,5,no,utf-8,
prompts/packs/default/skills/sop-architecture-reviewer.md,.md,334,5,no,utf-8,
prompts/packs/default/skills/sop-capability-reuse.md,.md,309,5,no,utf-8,
prompts/packs/default/skills/sop-code-explorer.md,.md,336,5,no,utf-8,
prompts/packs/default/skills/sop-code-implementation.md,.md,505,5,no,utf-8,
prompts/packs/default/skills/sop-code-review.md,.md,320,5,no,utf-8,
prompts/packs/default/skills/sop-deep-path.md,.md,308,5,no,utf-8,
prompts/packs/default/skills/sop-design-placement.md,.md,332,5,no,utf-8,
prompts/packs/default/skills/sop-document-sync.md,.md,349,5,no,utf-8,
prompts/packs/default/skills/sop-fast-path.md,.md,322,5,no,utf-8,
prompts/packs/default/skills/sop-implementation-designer.md,.md,392,5,no,utf-8,
prompts/packs/default/skills/sop-progress-supervisor.md,.md,393,5,no,utf-8,
prompts/packs/default/skills/sop-requirement-analyst.md,.md,369,5,no,utf-8,
prompts/packs/default/skills/sop-tdd-workflow.md,.md,375,5,no,utf-8,
prompts/packs/default/skills/sop-test-design-csv.md,.md,329,5,no,utf-8,
prompts/packs/default/skills/sop-test-implementation.md,.md,318,5,no,utf-8,
prompts/packs/default/skills/sop-workflow-orchestrator.md,.md,379,5,no,utf-8,
